account_id,company_name,industry,organization_type,region,country,employee_count_range,created_at
1,"Rodriguez, Figueroa and Sanchez",agriculture,university,South America,Burundi,11-50,2020-11-14 10:35:38
2,"Yang, Gardner and Garza",pharma,biotech,Asia,Antigua and Barbuda,201-1000,2020-04-02 13:50:30
3,Robinson PLC,academic,biotech,South America,Netherlands,201-1000,2020-03-23 10:39:55
4,"Gonzalez, Santos and Gardner",agriculture,university,North America,Cyprus,201-1000,2023-10-27 15:27:14
5,"Ramirez, Booth and Blake",agriculture,hospital,South America,Cayman Islands,201-1000,2023-08-06 00:24:49
6,Ramirez-Lewis,academic,hospital,South America,Serbia,11-50,2022-11-11 18:18:31
7,Davis Inc,diagnostics,biotech,Asia,Guinea-Bissau,1-10,2022-12-04 15:11:51
8,"Baker, Williams and Stevens",diagnostics,hospital,North America,British Virgin Islands,1-10,2023-03-22 01:34:09
9,Arnold Ltd,diagnostics,university,South America,Niger,51-200,2023-01-28 13:27:43
10,"Lee, Jones and Stanley",pharma,biotech,South America,Sierra Leone,51-200,2022-06-18 02:19:48
11,Wyatt Inc,academic,hospital,North America,Hong Kong,201-1000,2022-05-13 15:12:51
12,Reid-Diaz,academic,university,North America,Heard Island and McDonald Islands,1-10,2023-01-08 18:54:13
13,Santiago Ltd,agriculture,biotech,Europe,Vietnam,11-50,2025-10-24 17:00:29
14,"Jones, Reid and Ferguson",diagnostics,cro,South America,Ecuador,51-200,2021-05-22 16:10:22
15,Gray-Mayo,agriculture,biotech,South America,Northern Mariana Islands,51-200,2024-09-26 09:10:59
16,Cohen Inc,diagnostics,cro,Asia,Denmark,51-200,2020-04-09 17:34:02
17,Morales-Jones,agriculture,hospital,Europe,United States Minor Outlying Islands,201-1000,2024-10-28 04:00:35
18,"Edwards, Rios and Foster",diagnostics,cro,Europe,United States Virgin Islands,201-1000,2025-06-20 06:30:35
19,Thomas-Taylor,pharma,biotech,South America,Samoa,51-200,2024-10-10 02:38:31
20,"Baker, Richards and Hurst",agriculture,biotech,North America,Iran,1-10,2023-01-29 16:24:41
21,Osborn and Sons,pharma,university,South America,Malawi,201-1000,2024-03-13 07:12:29
22,Campos Inc,academic,biotech,South America,Cape Verde,1-10,2025-05-03 09:46:04
23,Conner Group,academic,university,South America,Nepal,201-1000,2020-07-16 08:58:09
24,James-Ferrell,pharma,hospital,Asia,Marshall Islands,201-1000,2022-02-20 02:47:42
25,"Valencia, Smith and Le",agriculture,university,North America,Pitcairn Islands,201-1000,2024-07-26 07:24:35
26,Mack-Peterson,agriculture,cro,Europe,French Polynesia,11-50,2023-09-12 18:26:49
27,Chavez Ltd,pharma,cro,Europe,Turkey,1-10,2022-03-29 07:42:38
28,"Gill, Romero and Rodriguez",diagnostics,biotech,Asia,Niue,201-1000,2022-07-16 05:39:22
29,"Romero, Gonzalez and Brooks",academic,biotech,South America,Central African Republic,51-200,2024-08-02 19:00:54
30,"Sellers, George and Burns",agriculture,university,South America,Bouvet Island (Bouvetoya),11-50,2023-02-01 17:48:27
31,Allen-Allen,diagnostics,hospital,Europe,Montenegro,201-1000,2020-09-01 16:33:04
32,Dennis Inc,agriculture,cro,South America,Senegal,11-50,2024-07-13 01:27:02
